,name,orrientation,confidence,comu_agree,comu_disagree
0,ABC News,Lean Left,High,39310,19635
1,AlterNet,Left,Medium,15191,3433
2,Associated Press,Lean Left,Medium,31901,24908
3,Associated Press Fact Check,Lean Left,Medium,6068,6949
4,Axios,Center,Medium,7584,8420
5,BBC News,Center,Medium,32353,27780
6,Bloomberg,Lean Left,Medium,17404,22465
7,Breitbart News,Right,High,42404,11749
8,BuzzFeed News,Left,Medium,27265,9658
9,CBS News,Lean Left,Medium,20603,13171
10,The Christian Science Monitor,Center,High,16740,20357
11,CNN,Left,High,58970,50746
13,Daily Beast,Left,High,21675,6608
14,Daily Mail,Right,Low or Initial,13567,7330
15,Democracy Now!,Left,Low or Initial,14550,3391
16,Forbes,Center,Low or Initial,15229,9847
17,Fox News,Right,High,49548,51639
19,HuffPost,Left,High,37544,22688
20,Insider,Lean Left,Medium,4417,6687
21,Mother Jones,Left,Low or Initial,16697,2538
22,MSNBC,Left,Medium,23821,6053
23,National Review,Right,Medium,21355,8788
24,NBC News,Lean Left,Medium,14165,13470
25,New York Post,Lean Right,High,17046,8895
26,The New York Times,Lean Left,High,32469,42241
28,NewsNation,Center,Low or Initial,444,527
29,Newsweek,Center,Medium,4612,8281
30,NPR,Lean Left,Medium,33995,33541
32,Politico,Lean Left,Medium,25153,32037
33,Reasontv,Lean Right,Medium,10194,6293
34,Reuters,Center,Medium,21190,12473
35,Slate,Left,Low or Initial,10669,3817
36,American Spectator,Right,Medium,12569,4438
37,The Atlantic,Left,Low or Initial,16234,9078
38,The Blaze,Right,Low or Initial,109345,85478
39,Daily Caller,Right,Medium,10875,4343
40,The Daily Wire,Right,Medium,12789,4418
41,The Economist,Lean Left,Medium,6794,11480
42,Epoch News,Lean Right,Medium,13407,7155
43,The Federalist,Right,Low or Initial,10181,3124
44,The Guardian,Lean Left,Medium,16021,9974
45,The Hill,Center,Medium,18284,24956
46,The Intercept,Left,Low or Initial,6266,1928
47,The New Yorker,Left,Low or Initial,10681,2624
48,Time,Lean Left,Low or Initial,10258,8663
49,USA TODAY,Lean Left,High,19834,22086
50,Vox,Left,High,32404,15482
51,Wall Street Journal,Center,High,24896,27093
53,Washington Examiner,Lean Right,High,14371,6923
54,Washington Free Beac...,Right,Medium,937,688
55,Washington Post,Lean Left,High,38528,27158
56,Washington Times,Lean Right,Medium,29110,13951
