,name,orr,agr,disagr
0,ABC News,Lean Left,39282,19610
1,AlterNet,Left,15182,3432
2,Associated Press,Lean Left,31851,24871
3,Associated Press Fact Check,Lean Left,6043,6932
4,Axios,Center,7570,8400
5,BBC News,Center,32335,27745
6,Bloomberg,Lean Left,17390,22451
7,Breitbart News,Right,42381,11750
8,BuzzFeed News,Left,27250,9655
9,CBS News,Lean Left,20588,13167
10,Christian Science Monitor,Center,16729,20348
11,CNN,Left,58878,50719
12,CNN,Left,37112,8242
13,Daily Beast,Left,21661,6603
14,Daily Mail,Right,13552,7321
15,Democracy Now!,Left,14541,3390
16,Forbes,Center,15215,9838
17,Fox News,Right,49463,51604
18,Fox News,Right,31935,7339
19,HuffPost,Left,37524,22685
20,Insider,Lean Left,4404,6669
21,Mother Jones,Left,16688,2537
22,MSNBC,Left,23798,6048
23,National Review,Right,21333,8780
24,NBC News,Lean Left,14135,13454
25,New York Post,Lean Right,17018,8883
26,New York Times,Lean Left,32428,42197
27,New York Times,Left,17341,4875
28,NewsNation,Center,430,514
29,Newsweek,Center,4599,8247
30,NPR,Lean Left,33981,33516
31,NPR,Lean Left,9428,11140
32,Politico,Lean Left,25134,32010
33,Reason,Lean Right,10189,6286
34,Reuters,Center,21147,12438
35,Slate,Left,10656,3814
36,The American Spectator,Right,12565,4437
37,The Atlantic,Left,16209,9070
38,The Blaze,Right,109247,85429
39,The Daily Caller,Right,10872,4340
40,The Daily Wire,Right,12771,4414
41,The Economist,Lean Left,6784,11458
42,The Epoch Times,Lean Right,13377,7136
43,The Federalist,Right,10179,3121
44,The Guardian,Lean Left,15990,9949
45,The Hill,Center,18259,24926
46,The Intercept,Left,6251,1920
47,The New Yorker,Left,10668,2619
48,Time Magazine,Lean Left,10249,8656
49,USA TODAY,Lean Left,19824,22066
50,Vox,Left,32374,15478
51,Wall Street Journal,Center,24863,27066
52,Wall Street Journal,Lean Right,12258,8170
53,Washington Examiner,Lean Right,14350,6906
54,Washington Free Beacon,Right,934,686
55,Washington Post,Lean Left,38492,27109
56,Washington Times,Lean Right,29102,13944
